District,Village,Year,BNursery,BPrimary,BSecondary,BTertiary,GNursery,GPrimary,GSecondary,GTertiary,Maize,Goats,Cows,Waterborne Illness,Ag Biz,Other Biz,Homes with Iron Sheets,# of Motorcycles,# of TVs,# of People,# of HH,Time Treated,Treated,Money,Ag,Livestock,Edu,Water
Zomba,Chilipo,2014,12,40,3,0,8,35,3,0,600,17,4,112,14,3,4,0,2,1380,166,0,0,0,0,0,0,0
Zomba,Chilipo,2015,6,35,4,0,5,38,4,0,350,22,2,72,16,3,2,0,0,1380,166,0,0,0,0,0,0,0
Zomba,Chilipo,2016,0,49,5,0,0,30,8,0,200,13,2,133,17,4,3,1,0,1380,166,0,0,0,0,0,0,0
Zomba,Mlenga,2014,14,19,3,0,18,24,1,0,1125,16,0,142,1,12,12,0,0,1208,175,0,1,0,0,0,0,0
Zomba,Mlenga,2015,26,22,3,0,30,34,4,0,225,24,0,19,7,14,18,0,0,1208,175,1,1,6600,0,0,0,1
Zomba,Mlenga,2016,30,34,4,0,35,38,2,0,117,32,0,7,16,17,25,1,1,1208,175,1,1,0,0,0,0,0
Zomba,Khando,2014,15,84,3,0,11,63,4,1,540,42,0,72,28,4,6,0,0,840,81,0,0,0,0,0,0,0
Zomba,Khando,2015,20,93,8,0,26,76,5,0,186,68,0,60,17,13,13,0,1,840,81,0,0,0,0,0,0,0
Zomba,Khando,2016,38,103,6,0,40,98,3,0,162,24,2,57,26,12,4,0,0,840,81,0,0,0,0,0,0,0
Zomba,Chikumbu,2014,30,40,5,0,35,53,5,0,2100,23,0,290,21,17,12,0,2,2530,210,0,1,0,0,0,0,0
Zomba,Chikumbu,2015,35,47,1,1,30,20,6,0,1420,35,0,178,47,23,18,0,3,2530,210,1,1,2000,0,1,0,0
Zomba,Chikumbu,2016,17,50,3,0,43,45,14,0,1410,74,0,74,60,52,22,0,6,2530,210,1,1,2000,1,0,0,0
Zomba,Kusapa,2014,5,47,3,0,7,20,3,0,480,15,0,120,6,7,10,3,1,1420,178,0,0,0,0,0,0,0
Zomba,Kusapa,2015,6,40,2,0,7,19,3,0,250,17,0,111,8,8,15,2,5,1420,178,0,0,0,0,0,0,0
Zomba,Kusapa,2016,7,48,3,0,8,17,3,0,132,18,0,96,4,10,29,2,5,1420,178,0,0,0,0,0,0,0
Zomba,Mahambuwa,2014,8,30,0,0,5,21,2,0,195,8,0,176,16,15,3,0,1,1021,174,0,0,0,0,0,0,0
Zomba,Mahambuwa,2015,2,51,1,0,2,17,1,0,154,10,0,156,18,13,10,0,1,1021,174,0,0,0,0,0,0,0
Zomba,Mahambuwa,2016,3,51,2,0,4,22,1,0,145,14,0,132,13,10,19,0,1,1021,174,0,0,0,0,0,0,0
Zomba,Mapota,2014,3,50,3,0,4,45,7,0,100,5,0,250,16,1,15,1,3,890,176,0,0,0,0,0,0,0
Zomba,Mapota,2015,4,56,3,0,5,49,6,0,150,9,0,150,10,2,20,0,0,890,176,0,0,0,0,0,0,0
Zomba,Mapota,2016,2,60,4,0,1,51,3,0,80,7,0,110,4,3,25,0,0,890,176,0,0,0,0,0,0,0
Zomba,Ngwale,2014,13,110,15,0,17,90,5,0,160,80,0,123,11,2,60,3,3,1550,140,0,0,0,0,0,0,0
Zomba,Ngwale,2015,15,80,20,0,13,70,12,0,120,60,0,143,7,6,60,3,3,1550,140,0,0,0,0,0,0,0
Zomba,Ngwale,2016,18,90,25,0,14,75,15,0,80,35,0,154,3,5,60,3,3,1550,140,0,0,0,0,0,0,0
Zomba,Tomasi,2014,6,12,3,0,9,22,3,0,105,10,1,72,14,1,7,1,0,726,166,0,0,0,0,0,0,0
Zomba,Tomasi,2015,8,11,3,0,7,21,2,0,84,11,1,31,19,1,9,1,1,726,166,0,0,0,0,0,0,0
Zomba,Tomasi,2016,6,14,1,0,8,6,3,0,56,15,2,46,14,0,7,2,1,726,166,0,0,0,0,0,0,0
Zomba,Nachuma,2014,10,36,5,0,15,40,5,0,1000,20,2,247,10,14,9,5,1,2180,285,0,1,0,0,0,0,0
Zomba,Nachuma,2015,8,42,10,0,10,50,7,0,700,30,2,101,18,20,15,7,3,2180,285,0,1,0,0,0,0,0
Zomba,Nachuma,2016,17,56,10,0,12,66,15,0,400,30,3,34,25,27,40,10,5,2180,285,1,1,6000,0,0,0,1
Zomba,Nakhwala,2014,12,20,1,0,18,34,2,0,900,48,1,147,15,12,37,1,1,2200,245,0,1,0,0,0,0,0
Zomba,Nakhwala,2015,15,30,1,0,25,55,2,1,850,51,1,211,20,13,40,1,1,2200,245,0,1,0,0,0,0,0
Zomba,Nakhwala,2016,16,37,1,0,29,56,3,0,214,104,1,195,25,16,47,2,1,2200,245,1,1,4000,1,1,0,0
Zomba,Saiti,2014,9,18,9,1,14,39,14,1,950,10,0,216,78,4,5,1,2,2378,213,0,1,0,0,0,0,0
Zomba,Saiti,2015,15,24,11,0,23,40,14,0,739,17,0,228,110,4,10,1,2,2378,213,0,1,0,0,0,0,0
Zomba,Saiti,2016,21,24,12,2,34,43,16,0,275,97,0,163,123,8,17,2,4,2378,213,1,1,4000,1,1,0,0
Zomba,Siyabu,2014,5,25,2,0,6,27,3,0,203,9,0,378,14,0,1,0,0,1330,172,0,1,0,0,0,0,0
Zomba,Siyabu,2015,14,20,0,0,10,27,2,0,171,10,0,345,20,0,6,0,0,1330,172,0,1,0,0,0,0,0
Zomba,Siyabu,2016,18,30,1,0,20,45,3,0,121,12,0,35,41,2,16,2,2,1330,172,1,1,6000,0,0,0,1
Phalombe,Chakuma,2014,20,63,6,3,39,49,5,0,1300,145,18,143,15,7,16,2,3,2214,215,0,0,0,0,0,0,0
Phalombe,Chakuma,2015,0,40,7,1,0,51,6,0,400,120,23,119,14,12,20,4,5,2214,215,0,0,0,0,0,0,0
Phalombe,Chakuma,2016,0,66,3,1,0,54,2,0,320,35,14,211,14,8,13,5,3,2214,215,0,0,0,0,0,0,0
Phalombe,Selenje,2014,18,204,3,0,20,111,2,0,2000,20,1,149,2,5,45,3,1,3010,400,0,0,0,0,0,0,0
Phalombe,Selenje,2015,18,90,5,0,12,121,1,0,1200,40,2,197,2,5,50,4,1,3010,400,0,0,0,0,0,0,0
Phalombe,Selenje,2016,20,73,5,0,40,99,1,0,1600,50,3,186,2,4,62,5,1,3010,400,0,0,0,0,0,0,0
Phalombe,Maluwa,2014,0,54,5,1,0,64,6,0,998,120,45,121,22,12,24,7,3,3478,1120,0,1,0,0,0,0,0
Phalombe,Maluwa,2015,20,63,7,3,25,72,8,0,701,140,112,71,31,18,31,8,5,3478,1120,0,1,0,0,0,0,0
Phalombe,Maluwa,2016,27,71,9,3,76,84,11,0,540,98,41,61,45,26,45,11,7,3478,1120,1,1,2000,0,0,1,0
Phalombe,Mwanga,2014,18,126,4,1,24,148,5,1,420,17,1,131,23,14,10,6,4,1756,202,0,1,0,0,0,0,0
Phalombe,Mwanga,2015,8,167,2,1,26,158,7,0,280,10,0,121,17,18,11,1,4,1756,202,1,1,7000,0,0,0,1
Phalombe,Mwanga,2016,10,176,5,1,29,164,10,1,142,4,0,79,28,25,51,7,6,1756,202,1,1,2000,0,0,1,0
Chiradzulu,Mwenye,2014,3,26,8,1,4,30,4,1,420,11,0,169,10,2,34,0,0,730,152,0,0,0,0,0,0,0
Chiradzulu,Mwenye,2015,2,25,4,0,15,32,3,0,340,15,0,143,5,5,8,1,2,730,152,0,0,0,0,0,0,0
Chiradzulu,Mwenye,2016,5,14,6,1,8,28,5,0,180,0,0,151,5,5,3,1,0,730,152,0,0,0,0,0,0,0
Mulanje,Manyumba ,2014,20,60,6,0,31,73,13,0,1110,23,3,51,6,9,140,1,3,2023,532,0,1,0,0,0,0,0
Mulanje,Manyumba ,2015,14,70,3,0,28,84,10,0,710,11,2,31,3,11,110,2,3,2023,532,0,1,0,0,0,0,0
Mulanje,Manyumba ,2016,20,90,3,1,31,112,10,0,514,9,2,41,4,13,121,33,4,2023,532,1,1,2000,0,0,1,0
Mulanje,Namphungo,2014,30,225,119,0,55,240,111,0,2330,25,5,115,9,30,51,4,3,2620,1135,0,1,0,0,0,0,0
Mulanje,Namphungo,2015,37,285,125,1,60,335,200,0,2000,20,8,76,10,35,62,7,5,2620,1135,1,1,2000,0,0,1,0
Mulanje,Namphungo,2016,50,367,170,2,70,463,230,1,1200,15,10,79,12,42,79,9,8,2620,1135,1,1,0,0,0,0,0
Chiradzulu,Likoswe,2014,6,35,7,0,4,33,9,0,841,8,2,215,6,4,10,1,4,1531,177,0,1,0,0,0,0,0
Chiradzulu,Likoswe,2015,8,41,7,1,7,31,5,1,318,9,1,94,11,14,14,0,1,1531,177,1,1,6000,0,0,0,1
Chiradzulu,Likoswe,2016,27,43,7,2,42,57,6,1,351,6,0,34,34,26,26,1,3,1531,177,1,1,2000,0,0,1,0
Mulanje,Chanje,2014,0,43,5,1,0,21,8,0,710,32,1,143,21,13,41,3,0,1885,995,0,0,0,0,0,0,0
Mulanje,Chanje,2015,2,32,7,0,3,9,4,0,481,27,2,78,12,7,31,0,2,1885,995,0,0,0,0,0,0,0
Mulanje,Chanje,2016,0,31,4,0,0,29,5,0,278,21,0,81,17,9,37,0,1,1885,995,0,0,0,0,0,0,0
Mulanje,Kamphepo,2014,0,4,1,0,0,5,2,0,354,32,3,81,3,4,26,0,0,554,73,0,0,0,0,0,0,0
Mulanje,Kamphepo,2015,4,7,2,0,8,11,2,0,150,28,5,92,2,5,22,0,0,554,73,0,0,0,0,0,0,0
Mulanje,Kamphepo,2016,12,10,4,0,20,9,3,0,123,20,8,96,0,3,21,1,0,554,73,0,0,0,0,0,0,0
Mulanje,Matewere,2014,13,41,18,1,21,56,21,0,734,76,12,110,3,3,91,3,0,1709,362,0,0,0,0,0,0,0
Mulanje,Matewere,2015,11,47,15,3,17,42,22,0,653,22,14,70,1,5,96,5,0,1709,362,0,0,0,0,0,0,0
Mulanje,Matewere,2016,16,43,17,2,22,50,18,3,425,34,11,30,4,0,73,4,0,1709,362,0,0,0,0,0,0,0
Mulanje,Namowa,2014,20,150,8,0,31,173,5,0,890,120,23,146,51,2,8,3,3,1005,315,0,0,0,0,0,0,0
Mulanje,Namowa,2015,26,173,34,0,27,192,41,0,525,154,37,163,72,3,16,4,6,1005,315,0,0,0,0,0,0,0
Mulanje,Namowa,2016,34,183,6,0,41,190,7,0,330,178,51,184,61,2,18,4,6,1005,315,0,0,0,0,0,0,0
Mulanje,Nguo,2014,25,150,12,0,21,210,7,1,470,35,14,140,3,11,78,4,0,1793,197,0,0,0,0,0,0,0
Mulanje,Nguo,2015,20,172,6,0,19,201,10,0,270,38,14,191,5,9,63,4,1,1793,197,0,0,0,0,0,0,0
Mulanje,Nguo,2016,21,160,16,0,20,195,11,0,79,40,14,130,4,10,70,3,0,1793,197,0,0,0,0,0,0,0
Mulanje,Sumani,2014,25,40,5,3,47,63,9,0,750,18,7,129,9,9,44,0,0,1840,1009,0,0,0,0,0,0,0
Mulanje,Sumani,2015,23,48,8,5,32,72,11,2,320,23,9,142,6,11,38,1,2,1840,1009,0,0,0,0,0,0,0
Mulanje,Sumani,2016,21,41,11,2,33,49,4,0,170,15,5,117,4,7,20,0,1,1840,1009,0,0,0,0,0,0,0
Mulanje,Bakili,2014,15,78,14,1,24,105,8,0,1021,24,3,189,17,5,34,6,3,2095,329,0,1,0,0,0,0,0
Mulanje,Bakili,2015,21,92,19,0,34,114,11,0,823,19,1,74,16,6,46,5,4,2095,329,1,1,7000,0,0,0,1
Mulanje,Bakili,2016,26,109,22,1,47,121,26,2,640,30,5,23,21,3,51,6,4,2095,329,1,1,0,0,0,0,0
Mulanje,Chitimbe,2014,15,267,11,0,21,156,5,0,1350,37,8,231,7,6,80,10,0,2843,684,0,1,0,0,0,0,0
Mulanje,Chitimbe,2015,12,187,7,0,18,121,4,0,920,36,4,224,6,8,78,12,1,2843,684,0,1,0,0,0,0,0
Mulanje,Chitimbe,2016,23,211,15,0,31,167,9,1,547,49,6,83,8,10,103,11,2,2843,684,1,1,6000,0,0,0,1
Mulanje,Kazembe,2014,0,48,6,0,0,39,9,0,1163,32,7,195,32,7,78,12,0,2085,398,0,1,0,0,0,0,0
Mulanje,Kazembe,2015,25,53,9,0,28,44,9,1,699,42,10,68,43,17,89,13,1,2085,398,1,1,7000,0,0,0,1
Mulanje,Kazembe,2016,36,67,9,1,43,59,23,1,422,54,13,14,58,23,103,12,4,2085,398,1,1,2000,0,0,1,0
Mulanje,Mphyakula,2014,13,57,12,0,18,95,17,0,1002,21,5,177,10,35,60,6,3,1223,245,0,0,0,0,0,0,0
Mulanje,Mphyakula,2015,15,61,14,1,13,79,18,0,742,32,1,169,9,40,61,6,3,1223,245,0,0,0,0,0,0,0
Mulanje,Mphyakula,2016,12,53,11,1,16,64,14,0,432,46,3,189,8,29,56,6,4,1223,245,0,0,0,0,0,0,0
Mulanje,Nalipa,2014,3,25,10,1,5,30,11,0,734,24,9,143,18,6,54,2,0,1085,195,0,0,0,0,0,0,0
Mulanje,Nalipa,2015,7,21,14,0,3,26,9,0,531,35,5,156,10,7,32,4,1,1085,195,0,0,0,0,0,0,0
Mulanje,Nalipa,2016,3,18,8,0,5,21,10,0,324,42,3,161,13,2,39,3,0,1085,195,0,0,0,0,0,0,0